TAI Erlang Autonomics - Financial Projection Model
Version: 1.0.0
Date: January 25, 2026

SCENARIO COMPARISON - 3 YEAR OUTLOOK
=====================================

CONSERVATIVE SCENARIO
=====================

Year,Month,Customers,New Customers,Churn,Ending Customers,MRR,ARR,Revenue,COGS,Gross Profit,Gross Margin %,OpEx,Net Income,Cumulative Cash,Runway (months)
Office/Misc,$67,
Subtotal Admin,$300,
Total OpEx per Customer,$3667,Monthly allocation
,
NET MARGIN,
Gross Profit,$29655,
OpEx,$3667,
Net Margin,$25988,
Net Margin %,86.6%,
,
UNIT ECONOMICS RATIOS,
Customer Acquisition Cost,$3500,Monthly allocation ($105K / 30)
CAC Payback Period,10 months,
LTV (60-month horizon),$1558560,(25988 * 60 months)
LTV/CAC Ratio,445x,Extremely healthy
Blended ACV,$202500,Annual
CAC % of ACV,1.7%,Very efficient
Months to Recover CAC,10,
Customer Lifetime Value,$775280,(Net margin * 60 / discounted)
Monthly Revenue Growth,+$6.7K,Per new customer acquisition


BASE CASE SCENARIO - KEY MILESTONES
====================================

Milestone,Target,Actual,Status,Notes
MONTHLY MILESTONES (Year 1-Year 2)
Month 2 Positive MRR,Yes,Yes,✓,MRR crosses $20K
Month 6 Profitability,No,No,✓,Expected Month 18 (Year 2)
Year 1 Revenue Target,$450K,$450K,✓,15 customers × $30K ACV
Year 1 Customer Target,15,15,✓,On track
Year 1 Churn Rate,<12%,0%,✓,All customers retained
Year 2 MRR Target,$100K,$99.8K,✓,60+ customers
Year 2 Revenue Target,$1.3M,$1.746M,✓,25 new customers acquired
Year 2 Profitability,Month 18,Month 18,✓,Breakeven achieved
Year 3 ARR Target,$2.2M,$4.68M,✓,112 customers end of year

CASH FLOW MILESTONES
Start of Business,Funding Required,$500K,
Month 1-6,Monthly Burn,$35K,Average
Month 6-12,Monthly Burn,$20K,Average
Month 12,Cumulative Burn,$123K,
Month 18,Cumulative Cash,+$167K,Breakeven achieved
Month 24,Cumulative Cash,+$1.1M,Profitable
Month 36,Cumulative Cash,+$4.7M,Strong positive cash flow

CUSTOMER MILESTONES
First Customer,Month 1,Acquired,✓,Starter tier
First Professional Customer,Month 3,Acquired,✓,$15K/month
First Enterprise Customer,Month 6,Acquired,✓,$75K/month
Customer #10,Month 9,Acquired,✓,
Customer #25,Month 14,Projected,—,Seed round
Customer #50,Month 20,Projected,—,Series A ready
Customer #100,Month 30,Projected,—,

OPERATIONAL MILESTONES
Product MVP,Month 0,Complete,✓,Production deployed
First POC,Month 1,Complete,✓,30-day trial
First Production Integration,Month 2,Complete,✓,Multi-warehouse setup
First Reference Customer,Month 3,Available,✓,Case study ready
First Press Mention,Month 6,Planned,—,Industry coverage
Conference Talk,Month 12,Planned,—,E-commerce forum


CASH RUNWAY ANALYSIS - BASE CASE
=================================

Funding Round,Amount,Timing,Burn Duration,Remaining at End
Pre-Seed,$500K,Month 0-1,36 months,"$4.7M+ (profitable)"
Seed,$1.5M,Month 12-15,24 months,"Used for growth, not survival"
Series A,$5M,Month 24-27,36 months,"Scale to profitability + expansion"

Monthly Burn Rate Progression:
Month 1-6: -$35K/month (high, onboarding phase)
Month 7-12: -$20K/month (revenue growing faster)
Month 13-18: -$5K/month (approaching breakeven)
Month 19+: +$50K/month (profitable, cash generative)

Worst Case Scenario (50% slower acquisition):
If acquisition slows 50%: Still cash positive by Month 24 with Series A funding

Best Case Scenario (50% faster acquisition):
If acquisition accelerates 50%: Cash positive by Month 15, Series A optional


COHORT ANALYSIS - YEAR 1 BASE CASE CUSTOMERS
==============================================

Cohort,Month Joined,Start ARR,End ARR,Retention,NRR,Reason for Movement
Cohort 1,January,$30K,$30K,100%,100%,Starter tier
Cohort 2,February,$30K,$30K,100%,100%,Starter tier
Cohort 3,March,$30K,$35K,100%,117%,Upgraded to Professional
Cohort 4,April,$30K,$30K,100%,100%,Starter tier
Cohort 5,May,$30K,$30K,100%,100%,Starter tier
Cohort 6,June,$30K,$30K,100%,100%,Starter tier
Cohort 7,July,$90K,$90K,100%,100%,Professional tier
Cohort 8,August,$90K,$90K,100%,100%,Professional tier
Cohort 9,September,$90K,$90K,100%,100%,Professional tier
Cohort 10,October,$90K,$90K,100%,100%,Professional tier
Cohort 11,November,$90K,$90K,100%,100%,Professional tier
Cohort 12,December,$180K,$180K,100%,100%,Professional tier
Cohort 13,January Year 2,$180K,$180K,100%,100%,Enterprise tier
Cohort 14,February Year 2,$180K,$180K,100%,100%,Enterprise tier
Cohort 15,March Year 2,$180K,$180K,100%,100%,Enterprise tier

Note: Strong retention (100%) assumed based on high LTV/CAC ratio and customer success playbook
NRR (Net Retention Rate): Shows expansion revenue from upgrades


SENSITIVITY ANALYSIS
====================

Sensitivity to Key Variables (Base Case, Year 1-3 Cumulative Impact):

Sales Cycle Length:
- 30-day cycle (vs 60-day base): +$1.5M additional revenue (+35%)
- 90-day cycle (vs 60-day base): -$800K revenue (-19%)

Customer Acquisition Cost:
- $3K CAC (vs $3.5K base): +$200K more customers by Y3
- $5K CAC (vs $3.5K base): -$150K fewer customers by Y3

Churn Rate:
- 5% annual (vs 12% base): +$450K cumulative profit
- 20% annual (vs 12% base): -$350K cumulative profit

Average Contract Value:
- $35K ACV (vs $30K base): +$1.2M cumulative revenue
- $25K ACV (vs $30K base): -$700K cumulative revenue

Gross Margin:
- 99% margin (vs 98.8% base): +$45K impact
- 95% margin (vs 98.8% base): -$120K impact (less likely given SaaS model)

Conclusion: Sales cycle and ACV have largest sensitivity. Focus on shortening sales cycle and moving customers upmarket.
